QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,IP,DNP Address,DNP Point #,,
35005,ME,35C128,ME TX1 FUTURE COMM,1,11,1,11,,,,,STATUS,ME35C128STATUS,172.16.3.81,1,141,,
35007,ME,24T1SC,ME TX1 2411 ALARMS FAIL,1,11,2,0,,,,,STATUS,ME24T1SCSTATUS,172.16.3.81,1,184,,
35007,ME,TX1TOT,ME TX1 HOT OIL TEMP,1,11,2,1,,,,,STATUS,METX1TOTSTATUS,172.16.3.81,1,49,,
35008,ME,TX1HS,ME TX1 HOT SPOT,1,11,2,2,,,,,STATUS,METX1HSSTATUS,172.16.3.81,1,50,,
35009,ME,TX1LR,ME TX1 LOC/REM SW,1,11,2,3,,,,,STATUS,METX1LRSTATUS,172.16.3.81,1,51,,
35010,ME,TCA1,ME TX1 LTC AUTO/MAN,1,11,2,6,,,,,STATUS,METCA1STATUS,172.16.3.81,1,54,,
35010,ME,TCA1,TX LTC MANUAL,1,11,,,,20,1,,RELAY,METCA1RELAY,172.16.3.81,1,8,,
35010,ME,TCA1,TX LTC AUTO,1,11,,,,20,0,,RELAY,METCA1RELAY,172.16.3.81,1,8,,
35011,ME,FANHYD,HOUSE EXHAUST FAN HYRDRO,1,11,2,7,,,,,STATUS,MEFANHYDSTATUS,172.16.3.81,1,208,,
35012,ME,SMOKE,ME HOUSE SMOKE,1,11,2,8,,,,,STATUS,MESMOKESTATUS,172.16.3.81,1,209,,
35014,ME,BATPWR,ME BATT POWER FAIL,1,11,2,10,,,,,STATUS,MEBATPWRSTATUS,172.16.3.81,1,210,,
35015,ME,BATTDC,ME BATT DC VOLT,1,11,2,11,,,,,STATUS,MEBATTDCSTATUS,172.16.3.81,1,211,,
35016,ME,BATGND,ME BATT GROUND,1,11,2,12,,,,,STATUS,MEBATGNDSTATUS,172.16.3.81,1,212,,
35017,ME,LRS,SUB LOC/REM SW,1,11,3,0,,,,,STATUS,MELRSSTATUS,172.16.3.81,1,193,,
35018,ME,86T1,ME  TX1 86T LCKOUT,1,11,3,1,,,,,STATUS,ME86T1STATUS,172.16.3.81,1,195,,
35019,ME,387SC1,ME TX1 DIF PROT FAIL,1,11,3,2,,,,,STATUS,ME387SC1STATUS,172.16.3.81,1,171,,
