QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,Full Point Name,OSI SCADA ID,IP,DNP Address,DNP Point #,,
30707,ME,4,BRK #4 CLOSE,1,11,,,,12,0,,RELAY,RELAY4,ME4,1041006,172.16.3.81,1,33,102,0
30708,ME,1R,ME BKR 1 RECLOSER,1,11,0,1,,,,,STATUS,STATUS1R,ME1R,1041007,172.16.3.81,1,67,67,1
30708,ME,1R,BKR #1 RECLOSE OFF,1,11,,,,1,1,,RELAY,RELAY1R,ME1R,1041007,172.16.3.81,1,19,67,0
30708,ME,1R,BKR #1 RECLOSE ON,1,11,,,,1,0,,RELAY,RELAY1R,ME1R,1041007,172.16.3.81,1,19,67,0
30709,ME,2R,ME BKR 2 RECLOSER,1,11,0,5,,,,,STATUS,STATUS2R,ME2R,1041008,172.16.3.81,1,79,79,1
30709,ME,2R,BRK #2 RECLOSE OFF,1,11,,,,5,1,,RELAY,RELAY2R,ME2R,1041008,172.16.3.81,1,24,79,0
30709,ME,2R,BRK #2 RECLOSE ON,1,11,,,,5,0,,RELAY,RELAY2R,ME2R,1041008,172.16.3.81,1,24,79,0
30710,ME,4R,ME BKR 4 RECLOSER,1,11,0,13,,,,,STATUS,STATUS4R,ME4R,1041009,172.16.3.81,1,103,103,1
30710,ME,4R,BKR 4 RECLOSE OFF,1,11,,,,13,1,,RELAY,RELAY4R,ME4R,1041009,172.16.3.81,1,34,103,0
30710,ME,4R,BKR 4 RECLOSE ON,1,11,,,,13,0,,RELAY,RELAY4R,ME4R,1041009,172.16.3.81,1,34,103,0
30714,ME,1GT,ME BKR 1 GRND TRIP BLOCK,1,11,0,2,,,,,STATUS,STATUS1GT,ME1GT,1041010,172.16.3.81,1,68,68,1
30714,ME,1GT,BRK #1 GND TRIP DISABLED,1,11,,,,2,1,,RELAY,RELAY1GT,ME1GT,1041010,172.16.3.81,1,20,68,0
30714,ME,1GT,BRK #1 GND TRIP ENABLED,1,11,,,,2,0,,RELAY,RELAY1GT,ME1GT,1041010,172.16.3.81,1,20,68,0
30715,ME,1LR,ME BKR 1 LOC/REM SW,1,11,0,3,,,,,STATUS,STATUS1LR,ME1LR,1041011,172.16.3.81,1,69,69,1
30716,ME,2GT,ME BKR 2 GRND TRIP BLOCK,1,11,0,6,,,,,STATUS,STATUS2GT,ME2GT,1041012,172.16.3.81,1,80,80,1
30716,ME,2GT,BRK #2 GND TRIP DISABLED,1,11,,,,6,1,,RELAY,RELAY2GT,ME2GT,1041012,172.16.3.81,1,25,80,0
30716,ME,2GT,BRK #2 GND TRIP ENABLED,1,11,,,,6,0,,RELAY,RELAY2GT,ME2GT,1041012,172.16.3.81,1,25,80,0
30717,ME,2LR,ME BKR 2 LOC/REM SW,1,11,0,7,,,,,STATUS,STATUS2LR,ME2LR,1041013,172.16.3.81,1,81,81,1
30718,ME,3,ME FEEDER BKR 3,1,11,0,8,,,,,STATUS,STATUS3,ME3,1041014,172.16.3.81,1,90,28,0
30718,ME,3,BRK #3 TRIP,1,11,,,,8,1,,RELAY,RELAY3,ME3,1041014,172.16.3.81,1,28,90,0
30718,ME,3,BRK #3 CLOSE,1,11,,,,8,0,,RELAY,RELAY3,ME3,1041014,172.16.3.81,1,28,90,0
30741,ME,3R,ME BKR 3 RECLOSER,1,11,0,9,,,,,STATUS,STATUS3R,ME3R,1041015,172.16.3.81,1,91,91,1
30741,ME,3R,BRK #3 RECLOSE OFF,1,11,,,,9,1,,RELAY,RELAY3R,ME3R,1041015,172.16.3.81,1,29,91,0
30741,ME,3R,BRK #3 RECLOSE ON,1,11,,,,9,0,,RELAY,RELAY3R,ME3R,1041015,172.16.3.81,1,29,91,0
31634,ME,TX1DRD,DIFFERENTIAL RELAY DISAB,1,11,6,0,,,,,STATUS,STATUSTX1DRD,METX1DRD,1041016,172.16.3.81,1,194,194,1
31636,ME,MTXAC,MOBIL TX LOSS OF AC,1,11,7,0,,,,,STATUS,STATUSMTXAC,MEMTXAC,1041017,172.16.3.81,1,#N/A,#N/A,#N/A
