Name  ,Desc  ,Zones  ,PreSuffx  ,Comm_Line  ,RTU_Number  ,Scan_PT  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Alarm_Task  ,Alarm_Fmt  ,APoint_01  ,APoint_02  ,APoint_03  ,APoint_04  ,APoint_05  ,APoint_06  ,APoint_07  ,APoint_08  ,APoint_09  ,APoint_10  ,Param_01  ,Param_02  ,Param_03  
"LC,RTU     ",LC RTU (LC T-1 LINE)  ,2  ,0  ,2  ,5  ,"LC  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"LC  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"GP,RTU     ",GEORGIA PACIFIC SEL  ,6  ,0  ,6  ,29  ,"GP  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"GP  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU12   ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,12  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU-22  ",WALDO   REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,99  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU     ",NEW RIVER REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,0  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"TU,RTU     ",TU RTU (LC T-1 LINE)  ,3  ,0  ,3  ,9  ,"TU  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"TU  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"HW,RTU     ",HAWTHORNE REMOTE SEL  ,6  ,0  ,6  ,7  ,"HW  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"HW  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"PP,RTU     ",POMONA PARK REMOTE  ,7  ,0  ,7  ,23  ,"PP  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"PP  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU6    ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,6  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"GL,RTU     ",GRIFFIS LOOP REMOTE  ,8  ,0  ,1  ,13  ,"GL  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"GL  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
