record,name_to_match,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,FeedbackKey,pDeviceInstance,pCtrlState,pScale,HiControlLimit,LoControlLimit,Setpoint_emulation,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
51,"LA,35C106",51,1,"""01012013""","""LA TX1 387E ALARM COM""",012,4,227,0,1,"""""","""""",43,"""""","""""","""""","""""","""""","LA,35C106  ",LA TX1 387E ALARM COM  ,4  ,26,0  ,  ,  ,  ,0
52,"LA,351SC1",52,1,"""01012014""","""LA BKR 1 RELAY FAIL""",012,4,227,0,1,"""""","""""",18,"""""","""""","""""","""""","""""","LA,351SC1  ",LA BKR 1 RELAY FAIL  ,4  ,26,0  ,  ,  ,  ,0
53,"LA,351SC2",53,1,"""01012015""","""LA BKR 2 REALY FAIL""",012,4,227,0,1,"""""","""""",44,"""""","""""","""""","""""","""""","LA,351SC2  ",LA BKR 2 REALY FAIL  ,4  ,26,0  ,  ,  ,  ,0
54,"LA,351SC3",54,1,"""01012016""","""LA BKR 3 RELAY FAIL""",012,4,227,0,1,"""""","""""",45,"""""","""""","""""","""""","""""","LA,351SC3  ",LA BKR 3 RELAY FAIL  ,4  ,26,0  ,  ,  ,  ,0
55,"LA,35C118",55,1,"""01012017""","""LA BKR 1 STATUS COM""",012,4,227,0,1,"""""","""""",16,"""""","""""","""""","""""","""""","LA,35C118  ",LA BKR 1 STATUS COM  ,4  ,26,1  ,  ,  ,  ,0
56,"LA,35C119",56,1,"""01012018""","""LA BKR 2 STATUS COM""",012,4,227,0,1,"""""","""""",46,"""""","""""","""""","""""","""""","LA,35C119  ",LA BKR 2 STATUS COM  ,4  ,26,1  ,  ,  ,  ,0
57,"LA,35C120",57,1,"""01012019""","""LA BKR 3 STATUS COM""",012,4,227,0,1,"""""","""""",47,"""""","""""","""""","""""","""""","LA,35C120  ",LA BKR 3 STATUS COM  ,4  ,26,1  ,  ,  ,  ,0
58,"LA,25SC1",58,1,"""01012020""","""LA TX1 STA/CNTRL FAIL""",012,4,227,0,1,"""""","""""",48,"""""","""""","""""","""""","""""","LA,25SC1   ",LA TX1 STA/CNTRL FAIL  ,4  ,26,1  ,  ,  ,  ,0
59,"LA,35C123",59,1,"""01012021""","""LA TX1 2505 STA/CNRL COM""",012,4,227,0,1,"""""","""""",49,"""""","""""","""""","""""","""""","LA,35C123  ",LA TX1 2505 STA/CNRL COM  ,4  ,26,1  ,  ,  ,  ,0
60,"LA,6113S",60,1,"""01012022""","""LA 6113S C/S BYPASS""",012,4,216,0,1,"""""","""""",50,"""""","""""","""""","""""","""""","LA,6113S   ",LA 6113S C/S BYPASS  ,4  ,15,1  ,  ,  ,  ,0
61,"LA,24T1SC",61,1,"""01012023""","""TX 2411 SELF CHECK""",012,4,227,0,1,"""""","""""",51,"""""","""""","""""","""""","""""","LA,24T1SC  ",TX 2411 SELF CHECK  ,4  ,26,1  ,  ,  ,  ,0
62,"LA,TX1TOT",62,1,"""01012024""","""LA TX1 HOT OIL TEMP""",012,4,209,0,1,"""""","""""",52,"""""","""""","""""","""""","""""","LA,TX1TOT  ",LA TX1 HOT OIL TEMP  ,4  ,8,1  ,  ,  ,  ,0
63,"LA,TX1HS",63,1,"""01012025""","""LA TX1 HOT SPOT""",012,4,209,0,1,"""""","""""",53,"""""","""""","""""","""""","""""","LA,TX1HS   ",LA TX1 HOT SPOT  ,4  ,8,1  ,  ,  ,  ,0
64,"LA,TX1LR",64,1,"""01012026""","""LA TX1 LOC/REM SW""",012,4,214,0,1,"""""","""""",54,"""""","""""","""""","""""","""""","LA,TX1LR   ",LA TX1 LOC/REM SW  ,4  ,13,1  ,  ,  ,  ,0
65,"LA,TX1K1",65,2,"""01012027""","""LA TX1 VOLT CONTROL K1""",012,4,218,0,1,"""""","""""",55,"""""","""""","""""","""""","""""","LA,TX1K1   ",LA TX1 VOLT CONTROL K1  ,4  ,17,1  ,18  ,0  ,18  ,0
66,"LA,TX1K2",66,2,"""01012028""","""LA TX1 VOLT CONTROL K2""",012,4,218,0,1,"""""","""""",56,"""""","""""","""""","""""","""""","LA,TX1K2   ",LA TX1 VOLT CONTROL K2  ,4  ,17,1  ,19  ,0  ,19  ,0
67,"LA,TCA1",67,3,"""41012001""","""LA TX1 LTC AUTO/MAN""",012,4,221,0,1,"""""","""""",57,"""""","""""","""""","""""","""""","LA,TCA1    ",LA TX1 LTC AUTO/MAN  ,4  ,20,1  ,17  ,0  ,17  ,0
68,"LA,LTCFLT",68,1,"""01012029""","""LA LTC1 FILTER ALARM""",012,4,227,0,1,"""""","""""",28,"""""","""""","""""","""""","""""","LA,LTCFLT  ",LA LTC1 FILTER ALARM  ,4  ,26,1  ,  ,  ,  ,0
69,"WB,TCM1",69,1,"""01052003""","""WB BKR TRIP-COIL MON 1""",052,1,227,0,1,"""""","""""",58,"""""","""""","""""","""""","""""","WB,TCM1    ",WB BKR TRIP-COIL MON 1  ,1  ,26,1  ,  ,  ,  ,0
70,"PS,GCTS1",70,8,"""12022001""","""PSEUDO SWITCH""",022,10,216,0,1,"""""","""""",59,"""""","""""","""""","""""","""""","PS,GCTS1   ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
71,"LA,35C127",71,1,"""01012030""","""LA MOSW STAT/CONTROL COM""",012,4,227,0,1,"""""","""""",60,"""""","""""","""""","""""","""""","LA,35C127  ",LA MOSW STAT/CONTROL COM  ,4  ,26,2  ,  ,  ,  ,0
72,"LA,25SC11",72,1,"""01012031""","""LA MOSW STA/CNTRL FAIL""",012,4,227,0,1,"""""","""""",61,"""""","""""","""""","""""","""""","LA,25SC11  ",LA MOSW STA/CNTRL FAIL  ,4  ,26,2  ,  ,  ,  ,0
73,"WE,LF",73,1,"""01069001""","""MAIN GEN TANK LOW FUEL""",069,3,210,0,1,"""""","""""",62,"""""","""""","""""","""""","""""","WE,LF      ",MAIN GEN TANK LOW FUEL  ,3  ,9,12  ,  ,  ,  ,0
74,"LA,MSB",74,2,"""01012032""","""LA MOSW BLOCKING REL""",012,4,204,0,1,"""""","""""",63,"""""","""""","""""","""""","""""","LA,MSB     ",LA MOSW BLOCKING REL  ,4  ,3,2  ,6  ,0  ,6  ,0
75,"LA,TC1",75,6,"""41012002""","""LA LOAD TAP CHANGER""",012,4,208,0,1,"""""","""03012023""",64,238,25,16,-16,1,"LA,TC1     ",LA LOAD TAP CHANGER  ,4  ,7,  ,20  ,0  ,20  ,0
