32 FEP.DB
* 
	10	SCAN_DATA	0	14	35
*	Record	1s	RTAC_point_type	RTAC_address	RTAC_Number	RTAC IP	RTAC NAME	RTAC Abr	DNP Point Address	Name	DestinationKey
	115	1	1	146	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	116	1	1	147	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	117	1	1	148	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	118	1	1	149	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	119	1	1	150	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	120	1	1	151	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	121	1	1	152	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	122	1	1	153	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	123	1	1	154	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	124	1	1	155	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	125	1	1	156	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	126	1	1	157	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	127	1	1	158	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	128	1	1	159	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	129	1	1	160	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	130	1	1	161	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	131	1	1	162	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	132	1	1	163	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	133	1	1	164	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	134	1	1	165	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	135	1	1	166	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	136	1	1	167	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	137	1	1	168	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	138	1	1	169	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	139	1	1	170	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	140	1	1	171	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	141	1	1	172	17	172.16.3.81	Melrose	ME	171	"ME,387SC1"	"01041001"
	142	1	1	173	17	172.16.3.81	Melrose	ME	172	"ME,501SC1"	"01041001"
	143	1	1	174	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	144	1	1	175	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	145	1	1	176	17	172.16.3.81	Melrose	ME	175	"ME,21T1SC"	"01041001"
	146	1	1	177	17	172.16.3.81	Melrose	ME	176	"ME,MET1SC"	"01041001"
	147	1	1	178	17	172.16.3.81	Melrose	ME	177	"ME,2407SC"	"01041001"
	148	1	1	179	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	149	1	1	180	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	150	1	1	181	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	151	1	1	182	17	172.16.3.81	Melrose	ME	181	"ME,25SC10"	"01041001"
	152	1	1	183	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	153	1	1	184	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	154	1	1	185	17	172.16.3.81	Melrose	ME	184	"ME,24T1SC"	"01041001"
	155	1	1	186	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	156	1	1	187	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	157	1	1	188	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	158	1	1	189	17	172.16.3.81	Melrose	ME	188	"ME,351SC1"	"01041001"
	159	1	1	190	17	172.16.3.81	Melrose	ME	189	"ME,351SC2"	"01041001"
	160	1	1	191	17	172.16.3.81	Melrose	ME	190	"ME,351SC3"	"01041001"
	161	1	1	192	17	172.16.3.81	Melrose	ME	191	"ME,351SC4"	"01041001"
	162	1	1	193	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	163	1	1	194	17	172.16.3.81	Melrose	ME	193	"ME,LRS"	"01041001"
	164	1	1	195	17	172.16.3.81	Melrose	ME	194	"ME,TX1DRD"	"01041001"
	165	1	1	196	17	172.16.3.81	Melrose	ME	195	"ME,86T1"	"01041001"
	166	1	1	197	17	172.16.3.81	Melrose	ME	196	"ME,86TCM1"	"01041001"
	167	1	1	198	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	168	1	1	199	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	169	1	1	200	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	170	1	1	201	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	171	1	1	202	17	172.16.3.81	Melrose	ME	201	"ME,94TCM1"	"01041001"
	172	1	1	203	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	173	1	1	204	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	174	1	1	205	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	175	1	1	206	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	176	1	1	207	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
