Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32682,DB,MOSWAL,DB MOSW 1/2 SYSTEM ALARM,3,7,2,10,,,,,STATUS,DBMOSWALSTATUS,172.17.4.81,1,224,,
32681,DB,S619_OP,DB S619 MOSW 2,3,7,2,11,,,,,STATUS,DBS619_OPSTATUS,172.17.4.81,1,226,,
32681,DB,S619_CL,DB S619 MOSW 2,3,7,2,11,,,,,STATUS,DBS619_CLSTATUS,172.17.4.81,1,227,,
32681,DB,S619,S619 MOD 2 TRIP,3,7,,,,17,1,,RELAY,DBS619RELAY,172.17.4.81,1,40,,
32681,DB,S619,S619 MOD 2 CLOSE,3,7,,,,17,0,,RELAY,DBS619RELAY,172.17.4.81,1,40,,
32686,DB,25SC7,DB LS STA/CTRL FAIL,3,7,2,13,,,,,STATUS,DB25SC7STATUS,172.17.4.81,1,180,,
32687,DB,25SC8,DB LS STA/CTRL FAIL,3,7,2,14,,,,,STATUS,DB25SC8STATUS,172.17.4.81,1,185,,
32688,DB,25SC9,DB LS STA/CTRL FAIL,3,7,2,15,,,,,STATUS,DB25SC9STATUS,172.17.4.81,1,186,,
06916,DB,RCV1,DB TX1 REG C VOLTS,3,7,,,2,,,0.1,ANALOG,DBRCV1ANALOG,172.17.4.81,1,26,,
06912,DB,P3,DB PULSE ACCUMULATOR 3,3,7,,,,,,4.8,PULSE,DBP3PULSE,#N/A,1,#N/A,,
32684,DB,6133S,DB HS BKR 1 BYPASS POS,3,7,3,0,,,,,STATUS,DB6133SSTATUS,172.17.4.81,1,21,,
32685,DB,S3781,DB S3781 TX1 LBI,3,7,3,1,,,,,STATUS,DBS3781STATUS,172.17.4.81,1,64,,
32685,DB,S3781,S3781 TX1 LBI CLOSE,3,7,,,,18,1,,RELAY,DBS3781RELAY,172.17.4.81,1,17,,
32685,DB,S3781,S3781 TX1 LBI OPEN,3,7,,,,18,0,,RELAY,DBS3781RELAY,172.17.4.81,1,17,,
32690,DB,351SC1,DB BKR 1 RELAY FAIL,3,7,3,2,,,,,STATUS,DB351SC1STATUS,172.17.4.81,1,188,,
32691,DB,351SC2,DB BKR 2 RELAY FAIL,3,7,3,3,,,,,STATUS,DB351SC2STATUS,172.17.4.81,1,189,,
32692,DB,351SC3,DB BKR 3 RELAY FAIL,3,7,3,4,,,,,STATUS,DB351SC3STATUS,172.17.4.81,1,190,,
32693,DB,25SC1,DB TX1 STA/CTRL FAIL,3,7,3,5,,,,,STATUS,DB25SC1STATUS,172.17.4.81,1,178,,
32694,DB,25SC11,DB MOSW STA/CTRL FAIL,3,7,3,6,,,,,STATUS,DB25SC11STATUS,172.17.4.81,1,182,,
32695,DB,35T1SC,DB TX1 3530 FAIL,3,7,3,7,,,,,STATUS,DB35T1SCSTATUS,172.17.4.81,1,170,,
32696,DB,HUMID,DB CTRL HSE HUMIDITY,3,7,3,8,,,,,STATUS,DBHUMIDSTATUS,172.17.4.81,1,216,,
32568,DB,1R,DB BKR 1 RECLOSER,3,7,3,9,,,,,STATUS,DB1RSTATUS,172.17.4.81,1,67,,
32568,DB,1R,BKR 1 RECLOSE OFF,3,7,,,,19,1,,RELAY,DB1RRELAY,172.17.4.81,1,19,,
32568,DB,1R,BKR 1 RECLOSE ON,3,7,,,,19,0,,RELAY,DB1RRELAY,172.17.4.81,1,19,,
32697,DB,1GT,DB BKR 1 GRND TRIP BLK,3,7,3,10,,,,,STATUS,DB1GTSTATUS,172.17.4.81,1,68,,
32697,DB,1GT,BKR 1 GRND TRIP BLK,3,7,,,,20,1,,RELAY,DB1GTRELAY,172.17.4.81,1,20,,
32697,DB,1GT,BKR 1 GRND TRIP ENABLE,3,7,,,,20,0,,RELAY,DB1GTRELAY,172.17.4.81,1,20,,
32698,DB,1LR,DB BKR 1 LOC/REM SW,3,7,3,11,,,,,STATUS,DB1LRSTATUS,172.17.4.81,1,69,,
32699,DB,2R,DB BKR 2 RECLOSER,3,7,3,12,,,,,STATUS,DB2RSTATUS,172.17.4.81,1,79,,
32699,DB,2R,BKR 2 RECLOSE OFF,3,7,,,,21,1,,RELAY,DB2RRELAY,172.17.4.81,1,24,,
32699,DB,2R,BKR 2 RECLOSE ON,3,7,,,,21,0,,RELAY,DB2RRELAY,172.17.4.81,1,24,,
32700,DB,2GT,DB BKR 2 GRND TRIP BLK,3,7,3,13,,,,,STATUS,DB2GTSTATUS,172.17.4.81,1,80,,
32700,DB,2GT,BKR 2 GRND TRIP BLK,3,7,,,,22,1,,RELAY,DB2GTRELAY,172.17.4.81,1,25,,
