Name  ,Desc  ,Zones  ,PType  ,DevClass  ,PreSuffx  ,Telem_CL  ,Telem_RTU  ,Telem_A  ,Telem_B  ,Telem_C  ,Open_CL  ,Open_RTU  ,Open_A  ,Open_B  ,Open_C  ,Open_D  ,Close_CL  ,Close_RTU  ,Close_A  ,Close_B  ,Close_C  ,Close_D  ,StatFmt  ,CntlInt  ,DevTO  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Normal_State  ,Dual_Normal  ,Alarm_Task  ,Annc_Delay  ,Alarm_Fmt  ,Meter_PT  
"TU,MTXAC   ",MOBILE TX LOSS OF AC  ,3  ,25  ,2  ,26  ,3  ,9  ,1  ,0  ,13  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"WB,POT     ",W6144 LOSS OF POTENTIAL  ,6  ,12  ,2  ,4  ,1  ,17  ,1  ,0  ,4  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,30  ,130  ,  
"NR,35CP19  ",311C-1 CP19 (MBIT)  ,3  ,22  ,2  ,26  ,3  ,13  ,4  ,0  ,2  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"WA,LTCFLT  ",LTC FILTER  ,5  ,22  ,2  ,26  ,1  ,3  ,3  ,0  ,1  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"PS,BADPNT  ",LC TX2 LTC SUPV AUTO/MAN  ,3  ,24  ,2  ,20  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,10  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,5  ,130  ,  
"BC,2032SC  ",BC 2032 SELF CHECK  ,3  ,22  ,2  ,26  ,3  ,57  ,1  ,0  ,6  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"DI,T2F1AC  ",TX2 STAGE1 FANS LOSS AC  ,3  ,16  ,2  ,4  ,3  ,45  ,10  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"WB,6144B   ",W6144 LOW GAS TRIP BLOCK  ,1  ,37  ,2  ,9  ,1  ,17  ,1  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"BW,2431R3  ",REG C 2431 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,25  ,2  ,0  ,9  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"CA,3L11S   ",CA LOWSIDE LOAD BREAK  ,5  ,22  ,2  ,15  ,5  ,13  ,2  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"BC,6W55    ",BC 6W55 RD 115KV BKR  ,3  ,19  ,1  ,1  ,3  ,57  ,6  ,0  ,0  ,3  ,57  ,30  ,0  ,0  ,1  ,3  ,57  ,30  ,0  ,0  ,0  ,0  ,0  ,10  ,3  ,4  ,0  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,  ,0  ,1  ,  
"LA,1       ",LAKE ASBURY BKR 1  ,4  ,19  ,1  ,1  ,4  ,33  ,0  ,0  ,0  ,4  ,33  ,0  ,0  ,0  ,1  ,4  ,33  ,1  ,0  ,0  ,1  ,0  ,0  ,10  ,3  ,4  ,0  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,  ,0  ,1  ,  
"LA,1R      ",LAKE ASBURY BKR 1 RECL  ,4  ,17  ,2  ,4  ,4  ,33  ,0  ,0  ,1  ,4  ,33  ,2  ,0  ,0  ,1  ,4  ,33  ,3  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,1GT     ",LA 1 GRND TRIP BLK  ,4  ,17  ,2  ,21  ,4  ,33  ,0  ,0  ,2  ,4  ,33  ,4  ,0  ,0  ,1  ,4  ,33  ,5  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,1LR     ",LA 1 LOC/REM SW  ,4  ,27  ,2  ,13  ,4  ,33  ,0  ,0  ,3  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,2       ",LAKE ASBURY BKR 2  ,4  ,19  ,1  ,1  ,4  ,33  ,0  ,0  ,4  ,4  ,33  ,6  ,0  ,0  ,1  ,4  ,33  ,7  ,0  ,0  ,1  ,0  ,0  ,10  ,3  ,4  ,0  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,  ,0  ,1  ,  
"LA,2R      ",LAKE ASBURY BKR 2 RECL  ,4  ,17  ,2  ,4  ,4  ,33  ,0  ,0  ,5  ,4  ,33  ,8  ,0  ,0  ,1  ,4  ,33  ,9  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,2GT     ",LA BKR 2 GRND TRIP  ,4  ,17  ,2  ,21  ,4  ,33  ,0  ,0  ,6  ,4  ,33  ,10  ,0  ,0  ,1  ,4  ,33  ,11  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,2LR     ",LA BKR 2 LOC/REM SW  ,4  ,27  ,2  ,13  ,4  ,33  ,0  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,3       ",LAKE ASBURY BKR 3  ,4  ,19  ,1  ,1  ,4  ,33  ,0  ,0  ,8  ,4  ,33  ,12  ,0  ,0  ,1  ,4  ,33  ,13  ,0  ,0  ,1  ,0  ,0  ,10  ,3  ,4  ,0  ,0  ,0  ,4  ,0  ,0  ,0  ,0  ,  ,0  ,1  ,  
"LA,3R      ",LAKE ASBURY BKR 3 RECL  ,4  ,17  ,2  ,4  ,4  ,33  ,0  ,0  ,9  ,4  ,33  ,14  ,0  ,0  ,1  ,4  ,33  ,15  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,3GT     ",LA BKR 3 GRND TRIP  ,4  ,17  ,2  ,21  ,4  ,33  ,0  ,0  ,10  ,4  ,33  ,16  ,0  ,0  ,1  ,4  ,33  ,17  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,3LR     ",LA BKR 3 LOC/REM SW  ,4  ,27  ,2  ,13  ,4  ,33  ,0  ,0  ,11  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,2032SC  ",LA TX 2032-1 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,33  ,0  ,0  ,12  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,351SC1  ",LA BKR 1 351 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,33  ,0  ,0  ,13  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,351SC2  ",LA BKR 2 351 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,33  ,0  ,0  ,14  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,351SC3  ",LA BKR 3 351 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,33  ,0  ,0  ,15  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,21CP1   ",LA BKR 1 2100-1 CPORT 1  ,4  ,22  ,2  ,26  ,4  ,33  ,1  ,0  ,0  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,21CP2   ",LA BKR 2 2100-1 CPORT 2  ,4  ,22  ,2  ,26  ,4  ,33  ,1  ,0  ,1  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,21CP3   ",LA BKR 3 2100-1 CPORT 3  ,4  ,22  ,2  ,26  ,4  ,33  ,1  ,0  ,2  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,2505SC  ",LA TX 2505 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,33  ,1  ,0  ,3  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,25TXCP  ",LA TX 2505-1 2100 CP 6  ,4  ,22  ,2  ,26  ,4  ,33  ,1  ,0  ,4  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,6113S   ",LA 6113S C/S BYPASS  ,4  ,22  ,2  ,15  ,4  ,33  ,1  ,0  ,5  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
