Desc  ,Name_Analog_Source,Zones  ,Alm_preHi  ,Alm_emgHi  ,Alm_unrHi  ,Alm_preLo  ,Alm_emgLo  ,Alm_unrLo  ,EU_Hi  ,EuText  ,record,OrderNo,Type,Key,Name,Stn,AOR,pUNIT,pScale EU_Hi,AlarmGrp,RawCountFormat,"77,4","77,1","77,0","78,0","78,1","78,4","91,1","91,2","91,3","91,4","91,5",ICAddress
DB FDR 8 B AMPS BRK TRIP  ,"DB,8B      ",3  ,630  ,680  ,720  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,1990,1990,1,"""03014068""","""DB FDR 8 B AMPS BRK TRIP""",014,3,1,1200.0,1,1,720  ,680  ,630  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
SYS TOTAL + GENS  ,"CEC,SYSTO2  ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,1991,1991,2,"""04053097""","""SYS TOTAL + GENS""",053,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
KH TX2 REG C VOLTS  ,"KH,RCV2    ",1  ,127.5  ,129  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,1992,1992,1,"""03038050""","""KH TX2 REG C VOLTS""",038,1,5,204.7,1,1,150  ,129  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
TX1 VARS LEAD  ,"KH,MV1-    ",1  ,4000  ,5000  ,5400  ,  ,  ,  ,65504.0,VARS  ,1993,1993,1,"""03038051""","""TX1 VARS LEAD""",038,1,4,65504.0,1,1,5400  ,5000  ,4000  ,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
KH TX1 REG B VOLTS  ,"KH,RBV1    ",1  ,127.5  ,129  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,1994,1994,1,"""03038052""","""KH TX1 REG B VOLTS""",038,1,5,204.7,1,1,150  ,129  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
DB FDR 8 C AMPS BRK TRIP  ,"DB,8C      ",3  ,630  ,680  ,720  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,1995,1995,1,"""03014069""","""DB FDR 8 C AMPS BRK TRIP""",014,3,1,1200.0,1,1,720  ,680  ,630  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DB FDR 9 A AMPS BRK TRIP  ,"DB,9A      ",3  ,630  ,680  ,720  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,1996,1996,1,"""03014070""","""DB FDR 9 A AMPS BRK TRIP""",014,3,1,1200.0,1,1,720  ,680  ,630  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
KH CALI DEMAND TOTAL  ,"KH,CALI    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,1997,1997,2,"""04038021""","""KH CALI DEMAND TOTAL""",038,10,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
KH CUR HR DEMAND TOTAL  ,"KH,CHR     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,1998,1998,2,"""04038022""","""KH CUR HR DEMAND TOTAL""",038,10,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GL 3B AMPS BKR TRIP  ,"GL,3B      ",1  ,450  ,500  ,560  ,-10  ,-20  ,-30  ,599.9958,AMPS  ,1999,1999,1,"""03046014""","""GL 3B AMPS BKR TRIP""",046,1,1,599.9958,1,1,560  ,500  ,450  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GL FDR 1 POWER FACTOR  ,"GL,1PF     ",1  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,2000,2000,1,"""03046015""","""GL FDR 1 POWER FACTOR""",046,1,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GL 3A AMPS BKR TRIP  ,"GL,3A      ",1  ,450  ,500  ,560  ,-10  ,-20  ,-30  ,599.9958,AMPS  ,2001,2001,1,"""03046016""","""GL 3A AMPS BKR TRIP""",046,1,1,599.9958,1,1,560  ,500  ,450  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GL FDR 3 WATTS  ,"GL,3KW     ",1  ,  ,  ,  ,  ,  ,  ,20470.0,WATTS  ,2002,2002,1,"""03046017""","""GL FDR 3 WATTS""",046,1,3,20470.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GL 3C AMPS BKR TRIP  ,"GL,3C      ",1  ,450  ,500  ,560  ,-10  ,-20  ,-30  ,599.9958,AMPS  ,2003,2003,1,"""03046018""","""GL 3C AMPS BKR TRIP""",046,1,1,599.9958,1,1,560  ,500  ,450  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GL FDR 2 POWER FACTOR  ,"GL,2PF     ",1  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,2004,2004,1,"""03046019""","""GL FDR 2 POWER FACTOR""",046,1,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SCH     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2005,2005,2,"""04067093""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SPH     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2006,2006,2,"""04067094""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SCD     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2007,2007,2,"""04067095""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SPD     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2008,2008,2,"""04067096""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SCM     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2009,2009,2,"""04067097""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SPM     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2010,2010,2,"""04067098""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GL 2C AMPS BKR TRIP  ,"GL,2C      ",1  ,260  ,280  ,300  ,-10  ,-20  ,-30  ,599.9958,AMPS  ,2011,2011,1,"""03046020""","""GL 2C AMPS BKR TRIP""",046,1,1,599.9958,1,1,300  ,280  ,260  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SAVG    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2012,2012,2,"""04067099""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GL FDR 1 WATTS  ,"GL,1KW     ",1  ,  ,  ,  ,  ,  ,  ,20470.0,WATTS  ,2013,2013,1,"""03046021""","""GL FDR 1 WATTS""",046,1,3,20470.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SMAX    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2014,2014,2,"""04067100""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GL FDR 2 WATTS  ,"GL,2KW     ",1  ,  ,  ,  ,  ,  ,  ,20470.0,WATTS  ,2015,2015,1,"""03046022""","""GL FDR 2 WATTS""",046,1,3,20470.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
SPARE ANALOG  ,"SPR,SMTM    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2016,2016,2,"""04067101""","""SPARE ANALOG""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LY REGULATOR STAGE  ,"LY,STAGE   ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,STAGE  ,2017,2017,2,"""04042011""","""LY REGULATOR STAGE""",042,10,11,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LY KVA AVERAGE  ,"LY,KVAAVG  ",7  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,2018,2018,2,"""04042012""","""LY KVA AVERAGE""",042,7,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
WO GEN #6 KWATTS  ,"SECI,124     ",1 2  ,  ,  ,  ,  ,  ,  ,65504.0,WATTS  ,2019,2019,1,"""03058059""","""WO GEN #6 KWATTS""",058,13,3,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BL BKR 3A AMPS BKR TRIP  ,"BL,3A      ",5  ,475  ,500  ,540  ,-10  ,-20  ,-30  ,599.9999,AMPS  ,2020,2020,1,"""03072020""","""BL BKR 3A AMPS BKR TRIP""",072,5,1,599.9999,1,1,540  ,500  ,475  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DR INLET 1C AMP-BKR TRIP  ,"DI,1C      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2021,2021,1,"""03001035""","""DR INLET 1C AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DR INLET 2A AMP-BKR TRIP  ,"DI,2A      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2022,2022,1,"""03001036""","""DR INLET 2A AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
OP CALC PREV MONTH DEMAN  ,"OP,CPMT    ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,2023,2023,2,"""04016025""","""OP CALC PREV MONTH DEMAN""",016,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DR INLET 2B AMP-BKR TRIP  ,"DI,2B      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2024,2024,1,"""03001037""","""DR INLET 2B AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DR INLET 2C AMP-BKR TRIP  ,"DI,2C      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2025,2025,1,"""03001038""","""DR INLET 2C AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DR INLET 3A AMP-BKR TRIP  ,"DI,3A      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2026,2026,1,"""03001039""","""DR INLET 3A AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DR INLET 3B AMP-BKR TRIP  ,"DI,3B      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2027,2027,1,"""03001040""","""DR INLET 3B AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DR INLET 3C AMP-BKR TRIP  ,"DI,3C      ",3  ,440  ,460  ,480  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2028,2028,1,"""03001041""","""DR INLET 3C AMP-BKR TRIP""",001,3,1,1200.0,1,1,480  ,460  ,440  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DI TX1 LD TAP CHGR POS  ,"DI,LTC1    ",3  ,15  ,16  ,16.5  ,-15  ,-16  ,-16.5  ,15.9666,TAP  ,2029,2029,1,"""03001042""","""DI TX1 LD TAP CHGR POS""",001,3,9,15.9666,1,1,16.5  ,16  ,15  ,-15,-16  ,-16.5  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 REG A VOLTS  ,"DI,RAV2    ",3  ,127.5  ,128  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,2030,2030,1,"""03001043""","""DI TX2 REG A VOLTS""",001,3,5,204.7,1,1,150  ,128  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 REG B VOLTS  ,"DI,RBV2    ",3  ,127.5  ,128  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,2031,2031,1,"""03001044""","""DI TX2 REG B VOLTS""",001,3,5,204.7,1,1,150  ,128  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 REG C VOLTS  ,"DI,RCV2    ",3  ,127.5  ,128  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,2032,2032,1,"""03001045""","""DI TX2 REG C VOLTS""",001,3,5,204.7,1,1,150  ,128  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 A AMPS C/S TRIP  ,"DI,TX2A    ",3  ,1450  ,1500  ,1550  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,2033,2033,1,"""03001046""","""DI TX2 A AMPS C/S TRIP""",001,3,1,1637.6,1,1,1550  ,1500  ,1450  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 B AMPS C/S TRIP  ,"DI,TX2B    ",3  ,1450  ,1500  ,1550  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,2034,2034,1,"""03001047""","""DI TX2 B AMPS C/S TRIP""",001,3,1,1637.6,1,1,1550  ,1500  ,1450  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 C AMPS C/S TRIP  ,"DI,TX2C    ",3  ,1450  ,1500  ,1550  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,2035,2035,1,"""03001048""","""DI TX2 C AMPS C/S TRIP""",001,3,1,1637.6,1,1,1550  ,1500  ,1450  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 WATTS  ,"DI,TX2W    ",3  ,50000  ,53000  ,56000  ,-10  ,-500  ,-1000  ,65505.0,WATTS  ,2036,2036,1,"""03001049""","""DI TX2 WATTS""",001,3,3,65505.0,1,1,56000  ,53000  ,50000  ,-10,-500  ,-1000  ,0.0,0.0,0.0,1.0,1.0,
DI TX2 POWER FACTOR MET  ,"DI,PF2M    ",3  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,2037,2037,1,"""03001050""","""DI TX2 POWER FACTOR MET""",001,3,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DI TX2 FREQUENCY METER  ,"DI,TX2FRQ  ",3  ,  ,  ,  ,  ,  ,  ,204.7,HZ  ,2038,2038,1,"""03001051""","""DI TX2 FREQUENCY METER""",001,3,7,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DI TX2 KVA METER  ,"DI,KVA2M   ",3  ,  ,  ,  ,  ,  ,  ,65504.0,KVA  ,2039,2039,1,"""03001052""","""DI TX2 KVA METER""",001,3,8,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DI TX2 VARS LAG  ,"DI,MV2     ",3  ,  ,  ,  ,  ,  ,  ,65504.0,VARS  ,2040,2040,1,"""03001053""","""DI TX2 VARS LAG""",001,3,4,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DI TX2 VARS LEAD  ,"DI,MV2-    ",3  ,  ,  ,  ,  ,  ,  ,65504.0,VARS  ,2041,2041,1,"""03001054""","""DI TX2 VARS LEAD""",001,3,4,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DI TX2 LD TAP CHGR POS  ,"DI,LTC2    ",3  ,15  ,16  ,16.5  ,-15  ,-16  ,-16.5  ,15.9666,TAP  ,2042,2042,1,"""03001055""","""DI TX2 LD TAP CHGR POS""",001,3,9,15.9666,1,1,16.5  ,16  ,15  ,-15,-16  ,-16.5  ,0.0,0.0,0.0,1.0,1.0,
BL BKR 3B AMPS BKR TRIP  ,"BL,3B      ",5  ,475  ,500  ,540  ,-10  ,-20  ,-30  ,599.9999,AMPS  ,2043,2043,1,"""03072021""","""BL BKR 3B AMPS BKR TRIP""",072,5,1,599.9999,1,1,540  ,500  ,475  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BL BKR 3C AMPS BKR TRIP  ,"BL,3C      ",5  ,475  ,500  ,540  ,-10  ,-20  ,-30  ,599.9999,AMPS  ,2044,2044,1,"""03072022""","""BL BKR 3C AMPS BKR TRIP""",072,5,1,599.9999,1,1,540  ,500  ,475  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
HA BRK 1 AMP TOTAL  ,"HA,1TOT    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,2045,2045,2,"""04020013""","""HA BRK 1 AMP TOTAL""",020,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
HA BRK 2 AMP TOTAL  ,"HA,2TOT    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,2046,2046,2,"""04020014""","""HA BRK 2 AMP TOTAL""",020,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DB FDR 9 B AMPS BRK TRIP  ,"DB,9B      ",3  ,630  ,680  ,720  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2047,2047,1,"""03014071""","""DB FDR 9 B AMPS BRK TRIP""",014,3,1,1200.0,1,1,720  ,680  ,630  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DB FDR 9 C AMPS BRK TRIP  ,"DB,9C      ",3  ,630  ,680  ,720  ,-10  ,-20  ,-30  ,1200.0,AMPS  ,2048,2048,1,"""03014072""","""DB FDR 9 C AMPS BRK TRIP""",014,3,1,1200.0,1,1,720  ,680  ,630  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DOUBLE BRANCH WATT TOTAL  ,"DB,WT      ",3  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,2049,2049,2,"""04014040""","""DOUBLE BRANCH WATT TOTAL""",014,3,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GT BKR 1 A AMPS  ,"GT,1A      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2050,2050,1,"""03043017""","""GT BKR 1 A AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 1 B AMPS  ,"GT,1B      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2051,2051,1,"""03043018""","""GT BKR 1 B AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 1 C AMPS  ,"GT,1C      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2052,2052,1,"""03043019""","""GT BKR 1 C AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
DB TX1 KVA AVERAGE  ,"DB,KV1AVG  ",3  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,2053,2053,2,"""04014041""","""DB TX1 KVA AVERAGE""",014,3,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DB TX2 KVA AVERAGE  ,"DB,KV2AVG  ",3  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,2054,2054,2,"""04014042""","""DB TX2 KVA AVERAGE""",014,3,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DB TX3 KVA AVERAGE  ,"DB,KV3AVG  ",3  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,2055,2055,2,"""04014043""","""DB TX3 KVA AVERAGE""",014,3,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
DB TX1 POWER FACTOR AVG  ,"DB,PF1AVG  ",3  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,2056,2056,2,"""04014044""","""DB TX1 POWER FACTOR AVG""",014,3,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
TOT LC LAST MTH DMD  ,"PS,LCPLMT  ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,2057,2057,3,"""99055017""","""TOT LC LAST MTH DMD""",055,10,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
HA BRK 3 AMP TOTAL  ,"HA,3TOT    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,2058,2058,2,"""04020015""","""HA BRK 3 AMP TOTAL""",020,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
PH BRK 1 AMP TOTAL  ,"PH,1TOT    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,2059,2059,2,"""04025012""","""PH BRK 1 AMP TOTAL""",025,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
PH FDR 1 POWER FACTOR  ,"PH,1PF     ",5  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,2060,2060,1,"""03025028""","""PH FDR 1 POWER FACTOR""",025,5,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GT GT BKR 2 A AMPS  ,"GT,2A      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2061,2061,1,"""03043020""","""GT GT BKR 2 A AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 2 A AMPS  ,"GT,2B      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2062,2062,1,"""03043021""","""GT BKR 2 A AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BRK 2 C AMPS  ,"GT,2C      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2063,2063,1,"""03043022""","""GT BRK 2 C AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 4 A AMPS  ,"GT,4A      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2064,2064,1,"""03043023""","""GT BKR 4 A AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 4 B AMPS  ,"GT,4B      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2065,2065,1,"""03043024""","""GT BKR 4 B AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 4 C AMPS  ,"GT,4C      ",7  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,2066,2066,1,"""03043025""","""GT BKR 4 C AMPS""",043,7,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
GT TX1 REG A PH VOLTS  ,"GT,RAV1    ",7  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,2067,2067,1,"""03043026""","""GT TX1 REG A PH VOLTS""",043,7,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
GT TX1 REG B PH VOLTS  ,"GT,RBV1    ",7  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,2068,2068,1,"""03043027""","""GT TX1 REG B PH VOLTS""",043,7,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
GT TX1 REG C PH VOLTS  ,"GT,RCV1    ",7  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,2069,2069,1,"""03043028""","""GT TX1 REG C PH VOLTS""",043,7,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
GT BKR 1 WATTS  ,"GT,1KW     ",7  ,  ,  ,  ,  ,  ,  ,20470.0,WATTS  ,2070,2070,1,"""03043029""","""GT BKR 1 WATTS""",043,7,3,20470.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GT BKR 2 WATTS  ,"GT,2KW     ",7  ,  ,  ,  ,  ,  ,  ,20470.0,WATTS  ,2071,2071,1,"""03043030""","""GT BKR 2 WATTS""",043,7,3,20470.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GT BKR 4 WATTS  ,"GT,4KW     ",7  ,  ,  ,  ,  ,  ,  ,20470.0,WATTS  ,2072,2072,1,"""03043031""","""GT BKR 4 WATTS""",043,7,3,20470.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GT BKR 1 POWER FACTOR  ,"GT,1PF     ",7  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,2073,2073,1,"""03043032""","""GT BKR 1 POWER FACTOR""",043,7,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GT BKR 2 POWER FACTOR  ,"GT,2PF     ",7  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,2074,2074,1,"""03043033""","""GT BKR 2 POWER FACTOR""",043,7,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
