Desc  ,Name_Analog_Source,Zones  ,Alm_preHi  ,Alm_emgHi  ,Alm_unrHi  ,Alm_preLo  ,Alm_emgLo  ,Alm_unrLo  ,EU_Hi  ,EuText  ,record,OrderNo,Type,Key,Name,Stn,AOR,pUNIT,pScale EU_Hi,AlarmGrp,RawCountFormat,"77,4","77,1","77,0","78,0","78,1","78,4","91,1","91,2","91,3","91,4","91,5",ICAddress
BLK CRK WATT TOTAL  ,"BC,WT      ",4  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,811,811,2,"""04007019""","""BLK CRK WATT TOTAL""",007,4,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
ME BKR 2A AMPS BKR TRIP  ,"ME,2A      ",1  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,812,812,1,"""03041007""","""ME BKR 2A AMPS BKR TRIP""",041,1,1,600.0126,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LC FDR 3 POWER FACTOR  ,"LC,3PF     ",3  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,813,813,1,"""03023030""","""LC FDR 3 POWER FACTOR""",023,3,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK PULSE TOTAL  ,"BC,BCPA    ",4  ,  ,  ,  ,0  ,-20  ,-30  ,1.0,WATTS  ,814,814,2,"""04007020""","""BLK CRK PULSE TOTAL""",007,4,3,1.0,1,1,999999,999996,999995,0,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BLK CRK MAXIMUM DEMAND  ,"BC,MAX     ",4  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,815,815,2,"""04007021""","""BLK CRK MAXIMUM DEMAND""",007,4,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
MODEL  ,"SPR,MAX     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,816,816,2,"""04067031""","""MODEL""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
POWER FACTOR  ,"SA,PFMAX   ",6  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,817,817,2,"""04056006""","""POWER FACTOR""",056,6,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
PREV DAY DEMAND TOTAL  ,"RD,PDYT    ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,818,818,2,"""04036007""","""PREV DAY DEMAND TOTAL""",036,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
ME BKR 2B AMPS BKR TRIP  ,"ME,2B      ",1  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,819,819,1,"""03041008""","""ME BKR 2B AMPS BKR TRIP""",041,1,1,600.0126,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
W6151B PHASE AMPS  ,"NR,W6151B  ",3  ,540  ,630  ,720  ,-10  ,-20  ,-30  ,1.0,AMPS  ,820,820,1,"""03051006""","""W6151B PHASE AMPS""",051,3,1,1.0,1,1,720  ,630  ,540  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
RD BKR 3C AMPS  ,"RD,3C      ",4  ,740  ,770  ,800  ,-10  ,-20  ,-30  ,1199.999,AMPS  ,821,821,1,"""03036008""","""RD BKR 3C AMPS""",036,4,1,1199.999,1,1,800  ,770  ,740  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
2 PREV DAY DEMAND  ,"RD,PDY2    ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,822,822,2,"""04036008""","""2 PREV DAY DEMAND""",036,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
CUR MONTH DEMANDH  ,"GL,CMT     ",1  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,823,823,2,"""04046005""","""CUR MONTH DEMANDH""",046,1,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK BILLED DEMAND  ,"BC,BILLED  ",4  ,165000  ,170000  ,180000  ,-10  ,-1000  ,-2000  ,1.0,WATTS  ,824,824,2,"""04007022""","""BLK CRK BILLED DEMAND""",007,4,3,1.0,1,1,180000  ,170000  ,165000  ,-10,-1000  ,-2000  ,0.0,0.0,0.0,1.0,1.0,
  ,"SPR,FR      ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,825,825,2,"""04067032""","""""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK UNITS/DAY  ,"BC,FD      ",4  ,  ,  ,  ,  ,  ,  ,1.0,PERIOD  ,826,826,2,"""04007023""","""BLK CRK UNITS/DAY""",007,4,17,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK CUR HOUR DEMAND  ,"BC,CHR     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,827,827,2,"""04007024""","""BLK CRK CUR HOUR DEMAND""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK CUR HOUR DEMAND  ,"BC,PHR     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,828,828,2,"""04007025""","""BLK CRK CUR HOUR DEMAND""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK CALC BCPA DEMAND  ,"BC,CALI    ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,829,829,2,"""04007026""","""BLK CRK CALC BCPA DEMAND""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK MULTIPLIER  ,"BC,MUL     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,830,830,2,"""04007027""","""BLK CRK MULTIPLIER""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK CUR DAY DEMAND  ,"BC,CDY     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,831,831,2,"""04007028""","""BLK CRK CUR DAY DEMAND""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK PREV DAY DEMAND  ,"BC,PDY     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,832,832,2,"""04007029""","""BLK CRK PREV DAY DEMAND""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK CUR MONTH DEMAND  ,"BC,CMT     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,833,833,2,"""04007030""","""BLK CRK CUR MONTH DEMAND""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BLK CRK PREV MONTH DEMAN  ,"BC,PMT     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,834,834,2,"""04007031""","""BLK CRK PREV MONTH DEMAN""",007,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
W6151C PHASE AMPS  ,"NR,W6151C  ",3  ,540  ,630  ,720  ,-10  ,-20  ,-30  ,1.0,AMPS  ,835,835,1,"""03051007""","""W6151C PHASE AMPS""",051,3,1,1.0,1,1,720  ,630  ,540  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
WE GEN #1 KWATTS  ,"SECI,131     ",1 2  ,  ,  ,  ,  ,  ,  ,65504.0,WATTS  ,836,836,1,"""03058032""","""WE GEN #1 KWATTS""",058,13,3,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
WALDO 1C AMPS BKR TRIP  ,"WA,1C      ",1  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,599.9958,AMPS  ,837,837,1,"""03004015""","""WALDO 1C AMPS BKR TRIP""",004,1,1,599.9958,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
PREVIOUS HOUR DEMAND  ,"NR,PHR     ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,838,838,2,"""04051007""","""PREVIOUS HOUR DEMAND""",051,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
WA VARS LEAD  ,"WA,MV-     ",1  ,4000  ,5000  ,5400  ,  ,  ,  ,32752.0,VARS  ,839,839,1,"""03004016""","""WA VARS LEAD""",004,1,4,32752.0,1,1,5400  ,5000  ,4000  ,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BY TX1 MV LAG  ,"SECI,102     ",1 2  ,  ,  ,  ,  ,  ,  ,1.0,VARS  ,840,840,1,"""03058033""","""BY TX1 MV LAG""",058,13,4,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
WA TX WATTS  ,"WA,W       ",1  ,19000  ,20000  ,22400  ,-10  ,-400  ,-1000  ,65504.0,WATTS  ,841,841,1,"""03004017""","""WA TX WATTS""",004,1,3,65504.0,1,1,22400  ,20000  ,19000  ,-10,-400  ,-1000  ,0.0,0.0,0.0,1.0,1.0,
