Name  ,Desc  ,Zones  ,PType  ,DevClass  ,EuText  ,Telem_CL  ,Telem_RTU  ,Telem_A  ,Telem_B  ,Telem_C  ,EU_Hi  ,EU_Lo  ,EU_Counts  ,AlogFmt  ,ZeroClmp  ,Alm_unrHi  ,Alm_emgHi  ,Alm_preHi  ,Alm_preLo  ,Alm_emgLo  ,Alm_unrLo  ,Sev_unrHi  ,Sev_emgHi  ,Sev_preHi  ,Sev_preLo  ,Sev_emgLo  ,Sev_unrLo  ,Vcode_unrHi  ,Vcode_emgHi  ,Vcode_preHi  ,Vcode_preLo  ,Vcode_emgLo  ,Vcode_unrLo  ,Dband_unr  ,Dband_emg  ,Dband_pre  ,ROC_Limit  ,ROC_Sev  ,ROC_Vcode  ,ROC_Pos  ,ROC_Neg  ,Sev_Normal  ,ALarm_Task  ,Annc_Delay  ,Annc_Delay_Pre  ,Annc_Delay_Eme  ,Annc_Delay_Unr  ,Jog  ,Rep_Except  ,Meter_PT  ,Trend_Flag  ,Auto_Flag  ,CmdSeq_Flag  
"FA,2PF     ",FA FDR 2 POWER FACTOR  ,5  ,STNPF  ,Analog  ,PF  ,5  ,9  ,43  ,2  ,0  ,204.7000  ,0.0000  ,0::2047  ,STND  ,0  ,  ,  ,  ,  ,  ,  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"DS,I1      ",DIRECT SERVE ADDITIVE  ,6  ,CWATT  ,Analog  ,KW  ,  ,  ,  ,  ,  ,1.0000  ,0.0000  ,0::2047  ,STND  ,0  ,  ,  ,  ,  ,  ,  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,0  
"TU,TXTMP   ",TU TRANSFMR TEMP  ,3  ,TEMP  ,Analog  ,DEG C  ,3  ,9  ,1  ,2  ,0  ,249.9978  ,0.0000  ,0::2047  ,STND  ,0  ,  ,  ,  ,  ,  ,  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,RAV     ",LA REG A VOLTS  ,4  ,REGVOL  ,Analog  ,VOLTS  ,4  ,33  ,0  ,2  ,0  ,204.7000  ,0.0000  ,0::2047  ,STND  ,0  ,150  ,129  ,127.5  ,119.5  ,118.5  ,-10  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0.5  ,0.5  ,0.5  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,120  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,RBV     ",LA REG B VOLTS  ,4  ,REGVOL  ,Analog  ,VOLTS  ,4  ,33  ,1  ,2  ,0  ,204.7000  ,0.0000  ,0::2047  ,STND  ,0  ,150  ,129  ,127.5  ,119.5  ,118.5  ,-10  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0.5  ,0.5  ,0.5  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,RCV     ",LA REG C VOLTS  ,4  ,REGVOL  ,Analog  ,VOLTS  ,4  ,33  ,2  ,2  ,0  ,204.7000  ,0.0000  ,0::2047  ,STND  ,0  ,150  ,129  ,127.5  ,119.5  ,118.5  ,-10  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0.5  ,0.5  ,0.5  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,120  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,TXA     ",LA TXA AMPS C/S TRIP  ,4  ,STNAMP  ,Analog  ,AMPS  ,4  ,33  ,3  ,2  ,0  ,1637.6000  ,0.0000  ,0::2047  ,STND  ,0  ,850  ,825  ,800  ,-10  ,-20  ,-30  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,20  ,20  ,20  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,120  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,TXB     ",LA TXB AMPS C/S TRIP  ,4  ,STNAMP  ,Analog  ,AMPS  ,4  ,33  ,4  ,2  ,0  ,1637.6000  ,0.0000  ,0::2047  ,STND  ,0  ,850  ,825  ,800  ,-10  ,-20  ,-30  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,20  ,20  ,20  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,120  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,TXC     ",LA TXC AMPS C/S TRIP  ,4  ,STNAMP  ,Analog  ,AMPS  ,4  ,33  ,5  ,2  ,0  ,1637.6000  ,0.0000  ,0::2047  ,STND  ,0  ,850  ,825  ,800  ,-10  ,-20  ,-30  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,20  ,20  ,20  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,120  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,W       ",LAKE ASBURY WATTS  ,4  ,CWATT  ,Analog  ,WATTS  ,4  ,33  ,6  ,2  ,0  ,65504.0000  ,0.0000  ,0::2047  ,STND  ,0  ,33000  ,31000  ,29000  ,-10  ,-500  ,-1000  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,1.5 Sec/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,300  ,300  ,300  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,PFM     ",LA POWER FACTOR METER  ,4  ,STNPF  ,Analog  ,PF  ,4  ,33  ,7  ,2  ,0  ,204.7000  ,0.0000  ,0::2047  ,STND  ,0  ,  ,  ,  ,  ,  ,  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,FREQ    ",LA FREQUENCY  ,4  ,UNDFRQ  ,Analog  ,HZ  ,4  ,33  ,8  ,2  ,0  ,204.7000  ,0.0000  ,0::2047  ,STND  ,0  ,  ,  ,  ,  ,  ,  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
"LA,KVAM    ",LA KVA METER  ,4  ,STNKVA  ,Analog  ,KVA  ,4  ,33  ,9  ,2  ,0  ,65504.0000  ,0.0000  ,0::2047  ,STND  ,0  ,  ,  ,  ,  ,  ,  ,On/No Ack  ,On/No Ack  ,On/No Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,No Alarm/Ack  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,No Alarm/Ack  ,0  ,0  ,0  ,No Alarm/Ack  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,1  ,0  ,0  
