record,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,pDeviceInstance,pCtrlState,pScale,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
4494.0,4494.0,1.0,"""01032052""","""TX SUDDEN PRESSURE""",032,1.0,211.0,0.0,1.0,"""""",296.0,"""""","""""","FL,TSP     ",TX SUDDEN PRESSURE  ,1  ,10.0,3  ,  ,  ,  ,0.0
4495.0,4495.0,1.0,"""01032053""","""TX PRESSURE RELIEF""",032,1.0,211.0,0.0,1.0,"""""",82.0,"""""","""""","FL,TPR     ",TX PRESSURE RELIEF  ,1  ,10.0,3  ,  ,  ,  ,0.0
4496.0,4496.0,1.0,"""01031027""","""TX2 OIL TEMP""",031,6.0,209.0,0.0,1.0,"""""",184.0,"""""","""""","RV,TX2TOT  ",TX2 OIL TEMP  ,6  ,8.0,5  ,  ,  ,  ,0.0
4497.0,4497.0,1.0,"""01031028""","""TX1 HOT SPOT""",031,6.0,209.0,0.0,1.0,"""""",177.0,"""""","""""","RV,TX1HS   ",TX1 HOT SPOT  ,6  ,8.0,5  ,  ,  ,  ,0.0
4498.0,4498.0,1.0,"""01056060""","""BKR 3 LOSS OF POT FOR UF""",056,6.0,227.0,0.0,1.0,"""""",81.0,"""""","""""","SA,3POT    ",BKR 3 LOSS OF POT FOR UF  ,6  ,26.0,1  ,  ,  ,  ,0.0
4499.0,4499.0,1.0,"""01056061""","""REG A 2431 2032 CPORT 11""",056,6.0,227.0,0.0,1.0,"""""",12.0,"""""","""""","SA,32CP11  ",REG A 2431 2032 CPORT 11  ,6  ,26.0,3  ,  ,  ,  ,0.0
4500.0,4500.0,1.0,"""01056062""","""REG B 2431 2032 CPORT 12""",056,6.0,227.0,0.0,1.0,"""""",405.0,"""""","""""","SA,32CP12  ",REG B 2431 2032 CPORT 12  ,6  ,26.0,3  ,  ,  ,  ,0.0
4501.0,4501.0,1.0,"""01056063""","""REG C 2431 2032 CPORT 13""",056,6.0,227.0,0.0,1.0,"""""",406.0,"""""","""""","SA,32CP13  ",REG C 2431 2032 CPORT 13  ,6  ,26.0,3  ,  ,  ,  ,0.0
4502.0,4502.0,1.0,"""01068068""","""TX2 OIL TEMP""",068,5.0,209.0,0.0,1.0,"""""",184.0,"""""","""""","HL,TX2TOT  ",TX2 OIL TEMP  ,5  ,8.0,1  ,  ,  ,  ,0.0
4503.0,4503.0,1.0,"""01031029""","""TX1 2505-1 SELF CHECK""",031,6.0,227.0,0.0,1.0,"""""",969.0,"""""","""""","RV,25T1SC  ",TX1 2505-1 SELF CHECK  ,6  ,26.0,3  ,  ,  ,  ,0.0
