record,OrderNo,Type,Name_match,Key,Name,Stn,AOR,"77,0","77,1","77,2","77,3","77,4","78,0","78,1","78,2","78,3","78,4","91,1","91,2","91,3","91,4","91,5",pScale EU_Hi,AlarmGrp,ICAddress,pUNIT,RawCountFormat
936,936,1,"HL,MV1     ","""03070006""","""HL TX1 VARS LAG""",070,5,5000  ,6000  ,0,0,14400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,54587.35,1,,4,1
937,937,1,"RD,PF1M    ","""03036010""","""RD TX1 POWER FACTOR""",036,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
938,938,2,"CA,PHR     ","""04010006""","""PREVIOUS HOUR DEMAND""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
939,939,1,"RV,PF2M    ","""03031024""","""TX2 POWER FACTOR METER""",031,6,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
940,940,2,"FA,PHR     ","""04060009""","""PREVIOUS HOUR DEMAND""",060,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
941,941,2,"OP,CHR2    ","""04016013""","""OP CUR HOUR DEMAND""",016,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
942,942,1,"WE,TX2FRQ  ","""03069007""","""WE TX2 FREQUENCY""",069,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
943,943,1,"SECI,100     ","""03058036""","""WE TX2 MVR LEAD""",058,13,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,4,1
944,944,2,"LC,CMT2    ","""04023026""","""LC 2 CUR MTH DEMAND""",023,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
945,945,1,"KH,TX2TMP  ","""03038009""","""TX2 TANK OIL TEMP""",038,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,12,1
946,946,1,"BR,2C      ","""03029020""","""BR BRK 2 C AMPS BRK TRIP""",029,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
947,947,2,"PH,PHR     ","""04025004""","""PREVIOUS HOUR DEMAND""",025,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
948,948,1,"WE,KVA2M   ","""03069008""","""WE TX2 KVA METER""",069,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,8,1
949,949,2,"AS,PHR     ","""04074002""","""PREVIOUS HOUR DEMAND""",074,7,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
950,950,1,"RV,3B      ","""03031025""","""BKR 3 B AMP BKR TRIP""",031,6,452  ,502  ,0,0,552  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0001,1,,1,1
951,951,1,"AS,RCTAP1  ","""03074005""","""AS TX1 REG C TAP POS""",074,7,15  ,16  ,0,0,16.5  ,-15,-16  ,0,0,-16.5  ,0.0,0.0,0.0,1.0,1.0,15.9922,1,,9,1
952,952,2,"SPR,PHR2    ","""04067038""","""MODEL""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
953,953,1,"RD,TX1FRQ  ","""03036011""","""TX1 FREQUENCY METER""",036,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
954,954,2,"PP,PHR     ","""04037006""","""PREVIOUS HOUR DEMAND""",037,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
955,955,1,"LC,5A      ","""03023032""","""LC 5A AMP BKR TRP""",023,3,410  ,440  ,0,0,470  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9958,1,,1,1
956,956,1,"LY,5B      ","""03042016""","""BKR 5 B AMPS""",042,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
957,957,1,"HL,KVA2M   ","""03070007""","""HL TX2 KVA METER""",070,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,54587.35,1,,8,1
958,958,2,"LC,TUPHR   ","""04023027""","""PREVIOUS HOUR DEMAND""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
959,959,2,"LC,TUCDY   ","""04023028""","""CURRENT DAY DEMAND""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
960,960,1,"GP,W       ","""03028004""","""GP WATTS""",028,5,10000  ,12000  ,0,0,13440  ,-10,-500  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,36231.9,1,,3,1
961,961,1,"LY,5C      ","""03042017""","""BKR 5 C AMP""",042,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
962,962,1,"WA,1B      ","""03004020""","""WALDO 1B AMPS BKR TRIP""",004,1,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9958,1,,1,1
963,963,2,"PP,CDY     ","""04037007""","""CURRENT DAY DEMAND""",037,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
964,964,2,"SB,LAMV    ","""04065012""","""SEMI LA DELIVERY PT MVAR""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,16,1
965,965,2,"SPR,CDY     ","""04067039""","""MODEL""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
966,966,1,"GP,TXC     ","""03028005""","""TX C AMPS C/S TRIP""",028,5,460  ,510  ,0,0,560  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
967,967,1,"RV,3C      ","""03031026""","""BKR 3 C AMP BKR TRIP""",031,6,452  ,502  ,0,0,552  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0001,1,,1,1
968,968,2,"SS,CDY     ","""04045007""","""CURRENT DAY DEMAND""",045,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
969,969,1,"WE,MV2     ","""03069009""","""WE TX2 VARS LAG""",069,4,18000  ,19000  ,0,0,20000  ,-18000,-19000  ,0,0,-20000  ,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
970,970,2,"PH,CDY     ","""04025005""","""CURRENT DAY DEMAND""",025,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
971,971,1,"BR,3A      ","""03029021""","""BR BRK 3 A AMPS BRK TRIP""",029,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
972,972,1,"SECI,KHWBV   ","""03058037""","""KH W 230 VOLTS""",058,13,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,38.9196,1,,4,1
973,973,1,"FA,TXC     ","""03060015""","""FA TX C AMPS C/S TRIP""",060,5,835  ,885  ,0,0,942  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
974,974,1,"FA,W       ","""03060016""","""FA TX 1 WATTS""",060,5,38000  ,40000  ,0,0,41700  ,-100,-500  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,65504.0,1,,3,1
975,975,1,"WE,MV2-    ","""03069010""","""WE TX2 VARS LEAD""",069,4,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
976,976,2,"OP,CMT2    ","""04016014""","""OP CUR MONTH DEMAND""",016,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
977,977,2,"FA,CDY     ","""04060010""","""CURRENT DAY DEMAND""",060,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
978,978,2,"BC,NBUSWA  ","""04007035""","""BC NORTH BUSS WATTS AVG""",007,3,300000  ,340000  ,0,0,380000  ,-10,-1000  ,0,0,-2000  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
979,979,2,"CA,CDY     ","""04010007""","""CURRENT DAY DEMAND""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
980,980,2,"SB,GCW     ","""04065013""","""SB TO GC MWATTS""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
981,981,2,"GP,PMT     ","""04028009""","""PREV MONTH TOTAL""",028,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
982,982,1,"HA,1KW     ","""03020004""","""HA FDR 1 WATTS""",020,7,27000  ,29000  ,0,0,33000  ,-10,-500  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,20470.0,1,,3,1
983,983,1,"HA,2KW     ","""03020005""","""HA FDR 2 WATTS""",020,7,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,20470.0,1,,3,1
984,984,1,"HA,3KW     ","""03020006""","""HA FDR 3 WATTS""",020,7,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,20470.0,1,,3,1
985,985,2,"SB,266A    ","""04065014""","""RS, FI & BY A AMP TOTAL""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
986,986,2,"BY,TXBTOT  ","""04002005""","""BY TX B AMP TOTAL""",002,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
987,987,2,"CA,PDY     ","""04010008""","""PREVIOUS DAY DEMAND""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
988,988,2,"CA,CMT     ","""04010009""","""CURRENT MONTH DEMAND""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
989,989,2,"SB,RSW     ","""04065015""","""SB TO RS MWATTS""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
990,990,2,"MI,CALI1   ","""04011005""","""M1 TX1 CALC DEMAND""",011,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
991,991,2,"BW,KV      ","""04015006""","""BELAIR WEST TOTAL KVOLTS""",015,4,90000  ,170000  ,0,0,180000  ,-10,-1000  ,0,0,-2000  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,18,1
992,992,1,"WH,KVA1M   ","""03021018""","""WH TX1 KVA METER""",021,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,32752.0,1,,8,1
993,993,1,"DI,1A      ","""03001008""","""DR INLET 1A AMP-BKR TRIP""",001,3,440  ,460  ,0,0,480  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1200.0,1,,1,1
994,994,1,"AL,PF1M    ","""03017028""","""AL TX1 POWER FACTOR MET""",017,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
995,995,2,"BW,MUL     ","""04015007""","""BW MULTIPLIER""",015,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
