* 
	5	ANALOG	0	1	3	4	5	10	23	24	42	77,4	77,1	77,0	78,0	78,1	78,4	91,1	91,2	91,3	91,4	91,5	66
*	record	OrderNo	Type	Key	Name	Stn	AOR	pUNIT	pScale EU_Hi	AlarmGrp	77,4	77,1	77,0	78,0	78,1	78,4	NomPairInactive91,1	91,2	91,3	91,4	91,5	ICAddress
	56	56	2	"04012009"	"LA PREV MONTH DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	57	57	2	"04012010"	""	012	10	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	58	58	2	"04012011"	"LA REGULATOR STAGE"	012	10	12	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	59	59	1	"03001001"	"DI TX1 TANK OIL TEMP"	001	3	13	1.0	1	150  	125  	105  	-5	-10  	-300  	0.0	0.0	0.0	1.0	1.0	
	60	60	1	"03021001"	"WH FDR 2 WATTS"	021	5	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	61	61	1	"03031001"	"TX2 REG B VOLT"	031	6	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	62	62	1	"03015010"	"BW PTX1 KW PREV HOUR"	015	3	7	196512.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	63	63	1	"03052001"	"WB W6144 WATTS"	052	3	3	100000.0	1	20000  	18000  	17000  	-10	-500  	-1000  	0.0	0.0	0.0	1.0	1.0	
	64	64	1	"03064001"	"SN TX1 KW PREV HR"	064	3	7	196512.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	65	65	1	"03039001"	"BN TX1 KW PREV HR (KWH)"	039	3	7	147384.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	66	66	1	"03032001"	"FL TX1 PREV HOUR"	032	3	7	196512.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	67	67	1	"03021002"	"WH BKR 2C AMPS"	021	5	1	600.0001	1	550  	500  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	68	68	1	"03011001"	"MI TX2 WINDING 2 TEMP"	011	3	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	69	69	1	"03011002"	"MI TX2AMBIENT TEMP"	011	3	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	70	70	1	"03023001"	"TU W6205 B PHASE AMPS"	023	3	1	1.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	71	71	2	"04036001"	"REGULATOR STAGE #2"	036	10	12	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	72	72	2	"04067001"	"SA REG B TAP CHGR POS"	067	6	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	73	73	1	"03011003"	"MI BKR 5 A AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	74	74	1	"03011004"	"MI BKR 5 B AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	75	75	1	"03011005"	"MI BKR 5 C AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	76	76	2	"04031001"	"RV TX2 CALC DEMAND"	031	6	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	77	77	2	"04033001"	"BRK 2 AMP TOTAL"	033	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	78	78	2	"04033002"	"BRK 3 AMP TOTAL"	033	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	79	79	1	"03033001"	"MX TX1 A PH BUS VOLTS"	033	3	5	204.7	1	145  	142  	140  	115	112  	110  	0.0	0.0	0.0	1.0	1.0	
	80	80	1	"03033002"	"MX TX1 B PH BUS VOLTS"	033	3	5	204.7	1	145  	142  	140  	115	112  	110  	0.0	0.0	0.0	1.0	1.0	
	81	81	1	"03033003"	"MX TX1 C PH BUS VOLTS"	033	3	5	204.7	1	145  	142  	140  	115	112  	110  	0.0	0.0	0.0	1.0	1.0	
	82	82	1	"03011006"	"MI BKR 4 WATTS"	011	3	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	83	83	1	"03025001"	"REG A TAP CHGR POS"	025	5	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	84	84	1	"03011007"	"MI BKR 3A AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	85	85	1	"03011008"	"MI BKR 3B AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	86	86	1	"03011009"	"MI BKR 4 A AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	87	87	1	"03011010"	"MI BKR 4 B AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	88	88	1	"03011011"	"MI BKR 4 C AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	89	89	2	"04016001"	"COMMLINE #4 HEARTBEAT"	016	10	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	90	90	2	"04016002"	"CHANNEL FOUR RETRY COUNT"	016	4	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	91	91	1	"03017002"	"ALACHUA TX1 REG A VOLTS"	017	5	5	204.7	1	150  	129  	127.5  	120	118  	-10  	0.0	0.0	0.0	1.0	1.0	
	92	92	1	"03017003"	"ALACHUA TX1 REG B VOLTS"	017	5	5	204.7	1	150  	129  	127.5  	119.5	118  	-10  	0.0	0.0	0.0	1.0	1.0	
	93	93	1	"03017004"	"ALACHUA TX1 REG C VOLTS"	017	5	5	204.7	1	150  	129  	127.5  	120	118  	-10  	0.0	0.0	0.0	1.0	1.0	
	94	94	1	"03017005"	"AL TX1 A AMPS C/S TRIP"	017	5	1	818.8	1	557  	540  	520  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	95	95	1	"03017006"	"AL TX1 B AMPS C/S TRIP"	017	5	1	818.8	1	557  	540  	520  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	96	96	1	"03017007"	"AL TX1 C AMPS C/S TRIP"	017	5	1	818.8	1	557  	540  	520  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	97	97	1	"03017008"	"ALACHUA TX1 WATTS"	017	5	3	32752.0	1	20000  	18000  	17000  	-10	-500  	-1000  	0.0	0.0	0.0	1.0	1.0	
	98	98	1	"03031002"	"TX2 REG C VOLT"	031	6	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	99	99	2	"04017001"	"AL TX2 PREV MONTH TOTAL"	017	5	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	100	100	2	"04017002"	"AL TOT CUR MONTH DMD"	017	5	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	101	101	1	"03017009"	"AL TX1 LD TAP CHGR POS"	017	4	11	15.9666	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	102	102	1	"03017010"	"AL BRK 1 A AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	103	103	1	"03017011"	"AL BRK 1 B AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	104	104	1	"03017012"	"AL BRK 1 C AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	105	105	1	"03017013"	"AL BRK 2 A AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	106	106	1	"03017014"	"AL BRK 2 B AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	107	107	1	"03017015"	"AL BRK 2 C AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	108	108	1	"03017016"	"AL BRK 3 A AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	109	109	1	"03017017"	"AL BRK 3 B AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	110	110	1	"03017018"	"AL BRK 3 C AMPS BKR TRIP"	017	5	1	600.0001	1	504  	475  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	111	111	1	"03017019"	"AL DC VOLTS"	017	5	5	149.9835	1	140  	136.5  	135  	128.5	126.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	112	112	1	"03017020"	"ALACHUA TX2 REG A VOLTS"	017	5	5	204.7	1	150  	129  	127.5  	120	119  	-10  	0.0	0.0	0.0	1.0	1.0	
	113	113	1	"03017021"	"ALACHUA TX2 REG B VOLTS"	017	5	5	204.7	1	150  	129  	127.5  	120	119  	-10  	0.0	0.0	0.0	1.0	1.0	
	114	114	1	"03017022"	"ALACHUA TX2 REG C VOLTS"	017	5	5	204.7	1	150  	129  	127.5  	120	119  	-10  	0.0	0.0	0.0	1.0	1.0	
	115	115	1	"03017023"	"AL TX2 A AMPS C/S TRIP"	017	5	1	1228.2	1	834  	800  	775  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	116	116	1	"03017024"	"AL TX2 B AMPS C/S TRIP"	017	5	1	1228.2	1	834  	800  	775  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	117	117	1	"03017025"	"AL TX2 C AMPS C/S TRIP"	017	5	1	1228.2	1	834  	800  	775  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	118	118	1	"03017026"	"ALACHUA TX2 WATTS"	017	5	3	49128.0	1	33000  	31000  	29000  	-10	-500  	-1000  	0.0	0.0	0.0	1.0	1.0	
	119	119	1	"03008002"	"BKR 2 C AMPS BKR TRIP"	008	7	1	599.9999	1	540  	490  	440  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	120	120	1	"03042001"	"LY TX1 POWER FACTOR"	042	7	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
