*
	41	ANALOG_CONFIG	0	9
*	KEY	pDeviceInstance
	573	"03023019"	3333
	574	"03011022"	3177
	575	"03023020"	3334
	576	"03023021"	3335
	577	"03001003"	3227
	578	"03006004"	3115
	579	"03052002"	3336
	580	"03011023"	3227
	581	"03024001"	3073
	582	"03038007"	3177
	583	"03036006"	3337
	584	"04011002"	3174
	585	"03031005"	3124
	586	"03046007"	3088
	587	"04031002"	3069
	588	"03026001"	3078
	589	"03026002"	3079
	590	"03047002"	3091
	591	"03023022"	3099
	592	"03041001"	3092
	593	"03041002"	3229
	594	"03004012"	3075
	595	"04063004"	3338
	596	"04063005"	3339
	597	"04036006"	3302
	598	"03041003"	3072
	599	"03001004"	3340
	600	"04014001"	3341
	601	"04014002"	3342
	602	"04014003"	3343
	603	"04001001"	3344
	604	"04019001"	3214
	605	"04016004"	3110
	606	"03014009"	3345
	607	"03014010"	3157
	608	"03014011"	3346
	609	"03014012"	3347
	610	"03014013"	3348
	611	"03014014"	3349
	612	"03014015"	3350
	613	"03019005"	3210
	614	"04016005"	3351
	615	"04016006"	3352
	616	"03019006"	3329
	617	"03019007"	3203
	618	"03019008"	3157
	619	"03019009"	3348
	620	"03019010"	3237
	621	"03001005"	3353
	622	"04028007"	3102
	623	"04070001"	3110
	624	"03070001"	3071
	625	"03070002"	3083
	626	"03070003"	3084
	627	"03070004"	3085
	628	"04072001"	3110
	629	"03070005"	3076
	630	"04029008"	3108
	631	"04029009"	3109
	632	"04029010"	3111
	633	"03029001"	3071
	634	"03029002"	3083
	635	"03029003"	3084
	636	"03029004"	3085
	637	"03029005"	3076
	638	"03029006"	3074
	639	"04049002"	3294
	640	"03029007"	3075
	641	"03029008"	3072
	642	"03029009"	3086
	643	"03029010"	3087
	644	"04031003"	3205
	645	"04041003"	3127
	646	"04041004"	3069
	647	"04041005"	3101
	648	"04041006"	3102
	649	"04041007"	3103
	650	"04041008"	3104
	651	"04041009"	3105
	652	"04041010"	3106
	653	"04041011"	3107
	654	"04041012"	3108
	655	"04041013"	3109
	656	"04041014"	3110
	657	"04041015"	3111
	658	"04041016"	3160
	659	"03041004"	3170
	660	"03041005"	3083
	661	"03041006"	3084
	662	"03029011"	3088
	663	"03021008"	3354
	664	"03021009"	3093
	665	"03021010"	3094
	666	"03021011"	3095
	667	"03021012"	3089
	668	"03001006"	3239
	669	"04065024"	3164
	670	"04065025"	3239
	671	"03001007"	3355
	672	"03021013"	3091
	673	"03021014"	3092
	674	"03021015"	3083
	675	"03021016"	3084
	676	"03021017"	3085
	677	"03011024"	3090
	678	"03029012"	3073
	679	"04023018"	3142
	680	"03019011"	3328
	681	"03019012"	3153
	682	"03019013"	3330
	683	"03019014"	3165
	684	"03019015"	3346
	685	"03019016"	3349
	686	"03033007"	3083
	687	"03033008"	3084
	688	"03033009"	3085
	689	"03019017"	3345
	690	"03019018"	3347
	691	"03012026"	3082
	692	"03017028"	3065
	693	"99055006"	3356
	694	"03017029"	3300
	695	"03042002"	3151
	696	"03042003"	3065
	697	"03042004"	3300
	698	"03017030"	3151
	699	"04003002"	3103
	700	"03059010"	3173
	701	"03059011"	3229
	702	"04045003"	3357
	703	"03031006"	3147
	704	"03023023"	3354
	705	"99055007"	3358
	706	"99055008"	3359
	707	"03017031"	3206
	708	"03023024"	3173
	709	"03036007"	3077
	710	"03023025"	3236
	711	"03025004"	3072
	712	"03025005"	3170
	713	"03025006"	3091
	714	"03025007"	3092
	715	"03025008"	3093
	716	"03025009"	3236
	717	"03025010"	3354
	718	"03025011"	3097
	719	"03025012"	3098
	720	"03025013"	3099
	721	"03025014"	3130
	722	"03025015"	3131
	723	"03025016"	3132
	724	"03025017"	3077
	725	"03025018"	3078
	726	"03025019"	3079
	727	"03025020"	3073
	728	"03025021"	3083
	729	"03025022"	3084
	730	"03025023"	3085
	731	"03010009"	3170
	732	"03010010"	3072
	733	"03010011"	3073
	734	"03010012"	3094
	735	"03010013"	3095
	736	"03010014"	3096
	737	"03010015"	3097
	738	"03010016"	3098
	739	"03010017"	3099
	740	"03010018"	3083
	741	"03010019"	3084
	742	"03010020"	3085
	743	"03010021"	3151
	744	"03010022"	3091
	745	"03010023"	3092
	746	"03010024"	3093
	747	"99055009"	3360
	748	"99055010"	3361
	749	"99055011"	3362
	750	"04023019"	3294
	751	"04001002"	3155
	752	"03023026"	3128
	753	"03018001"	3363
	754	"03018002"	3364
	755	"03018003"	3365
	756	"03018004"	3077
	757	"03026003"	3366
	758	"03026004"	3367
	759	"03026005"	3368
	760	"03026006"	3077
	761	"03060001"	3115
	762	"04004003"	3126
	763	"03004013"	3236
	764	"03004014"	3084
	765	"04065026"	3369
	766	"03046008"	3095
	767	"04007018"	3370
	768	"04017006"	3302
	769	"04017007"	3371
	770	"04017008"	3232
	771	"04017009"	3372
	772	"04017010"	3253
	773	"04065027"	3373
	774	"04065028"	3374
	775	"04017011"	3169
	776	"04017012"	3214
	777	"03023027"	3132
	778	"03042005"	3072
	779	"04001003"	3120
	780	"03042006"	3083
	781	"03042007"	3084
	782	"03042008"	3085
	783	"03042009"	3076
	784	"03042010"	3074
	785	"04051005"	3066
	786	"03029013"	3089
	787	"03029014"	3090
	788	"03029015"	3091
